State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Gujarat,Ahmedabad,3 Star,Without Alcohol,Aarya Grand Hotels Resorts,"Kargil Petrol Pump Lane, Near Gujarat High Court, Sarkhej - Gandhinagar Highway",105
Gujarat,Ahmedabad,3 Star,Without Alcohol,AJU IMPERIAL HOTEL( A UNIT OF AJU RYOKAN NCR PVT.LTD.),"Survey No. 414, Village-Jalisana, Jalisana to Nayakpur Road Taluka- Mandal, Distt.-Ahmedabad, Gujarat 382120",107
Gujarat,Ahmedabad,3 Star,Without Alcohol,AVALON HOTEL AND BANQUETS,"OPP MANGO GARDEN BUNGLOWS, NEAR SINDHU BHAVAN ROAD OFF S.G. HIGHWAY BODAKDEV",46
Gujarat,Ahmedabad,3 Star,Without Alcohol,"Belvedere Club, A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD","ADANI SHANTIGRAM, S G HIGHWAY, NEAR VAISHNODEVI CIRCLE Ahmedabad",55
Gujarat,Ahmedabad,3 Star,Without Alcohol,"Bloom Suites, A unit of Ms Rising Hotel Limited.","Surdhara Circle, Off Drive In Road, Thaltej, Ahmedabad Ahmedabad",68
Gujarat,Ahmedabad,3 Star,Without Alcohol,"Comfort Inn President, A unit of Sun N Silver Inn Pvt. Ltd.","OPP MUNICIPAL MARKET, OFF C G ROAD, NAVRANGPURA, AHMEDABAD Ahmedabad",57
Gujarat,Ahmedabad,3 Star,Without Alcohol,COMFORT INN SUNSET,"AIRPORT CIRCLE,HANSOL,AHMEDABAD",57
Gujarat,Ahmedabad,3 Star,Without Alcohol,HOTEL CENTRA,"KHANPUR, AHMEDABAD-380001",37
Gujarat,Ahmedabad,3 Star,Without Alcohol,HOTEL NALANDA,"MITHAKHALI SIX ROADS, NEAR LIONS HALL, ELLISBRIDGE, AHMEDABAD - 380 006",43
Gujarat,Ahmedabad,3 Star,Without Alcohol,Hotel Silvera Grand,"Unit of Silvera Hotels, Dehgam Circle, S P Ring Road, Hanspura, Village Bilasiya",21
Gujarat,Ahmedabad,3 Star,Without Alcohol,"Palm Greens Club, Unit of Snesh Resorts Private Limited","NH No.8, Bareja - Kheda Highway, Village Goblaj, Near Bareja Ahmedabad",62
Gujarat,Ahmedabad,3 Star,Without Alcohol,Regenta Central Antarim ,"A Unit of Antarim Hotel LLP, Between Girish Cold Drink & St Xaviers Corner, C G Road, Navrangpura Ahmedabad",73
Gujarat,Ahmedabad,3 Star,Without Alcohol,"Regenta Inn , Ranip","Arved Transcube Plaza, Opp Adi-Jati Girls Hostel, 132 Ft Ring Road, Ranip-Ahmedabad",102
Gujarat,Ahmedabad,3 Star,Without Alcohol,"TGB EXPRESS HOTEL, A UNIT OF HOTEL PALMLAKE (KANKARIA) PVT. LTD.","TGB EXPRESS HOTEL, NR, JALDHARA WATER PARK, KANKARIA GATE-5, MANINAGAR Ahmedabad Ahmedabad Ahmedabad",33
Gujarat,Anand,3 Star,Without Alcohol,Humming Bird Hotel and Banquet,"Behind Architect College, Near University Library, Iscon Temple Road, V.V. Nagar, Anand",38
Gujarat,Anand,3 Star,Without Alcohol,LA CASA INN ,UNIT OF SHREE A & A COMPANY,44
Gujarat,Bharuch,3 Star,Without Alcohol,Regenta Central Harimangla,"Near ABC Cir, Old N.H. 8, Bholav, Bharuch, Gujarat 392015",104
Gujarat,Bharuch,3 Star,Without Alcohol,Regenta Central Hestia Dahej,SURVEY NO 106; VILLAGE: BHENSALI; TALUKA: VAGRA;,69
Gujarat,Bharuch,3 Star,Without Alcohol,VEDIK RESORT,"SURVEY NO 45, OLPAD SAHOL ROAD, VILLAGE SAHOL, BHARUCH GUJARAT 394810",129
Gujarat,Bhavnagar,3 Star,Without Alcohol,Top3 Lords Resort (A unit of Tree Top Resorts Spa Pvt. Ltd.),"Plot No 1 & 2| Near BPCL Petrol Pump, Budhel â€“ Vartej Cross Road | Bhavnagar | Gujarat |364002",39
Gujarat,Bhavnagar,3 Star,Without Alcohol,VIRGO SUMERU,"PLOT NO:-109-A,BESIDE STERLING POINT,WAGHAWADI ROAD Bhavnagar",33
Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL COMFORT INN PRINCE ,STATION ROAD Bhuj,44
Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL ILARK,"Nr.RAVI CINEMA,STATION ROAD",29
Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL SEVEN SKY,"SEVEN SKY ENTERTAINMENT PVT LTD. AIRPORT ROAD, BHUJ- (KUTCHH) PIN 370001, GUJARAT",82
Gujarat,Bhuj,3 Star,Without Alcohol,LaKamp Resort (Unit of Kashish Resort),"Survey No.116-1, Near Rudra Mata Temple, Village Saraspar, Taluka Bhuj, Dist. Kutch 370001. Bhuj Bhuj",29
Gujarat,Bhuj,3 Star,Without Alcohol,The Fern Residency Bhuj (A unit of Ms THE BESIL INN),Bhuj Anjar Highway Near Tulsi Hotel Madhavpar Bhuj,46
Gujarat,Dang,3 Star,Without Alcohol,Sunotel,"Sunotel(Unit of Shriji Resort Hotels Pvt. Ltd) Opp Lake Garden, Nageshwar Mahadev Temple Road, Saputara",90
